term,draw_time,draw_result,front_numbers,back_numbers
26055,2026-05-18 21:15:00,"05,06,11,14,17,19,20|18","['05', '06', '11', '14', '17', '19', '20']",['18']
26054,2026-05-15 21:15:00,"07,08,09,10,15,23,28|13","['07', '08', '09', '10', '15', '23', '28']",['13']
26053,2026-05-13 21:15:00,"04,11,12,14,19,25,27|07","['04', '11', '12', '14', '19', '25', '27']",['07']
26052,2026-05-11 21:15:00,"01,02,10,21,25,26,29|18","['01', '02', '10', '21', '25', '26', '29']",['18']
26051,2026-05-08 21:15:00,"13,16,18,22,23,28,30|24","['13', '16', '18', '22', '23', '28', '30']",['24']
26050,2026-05-06 21:15:00,"05,07,09,14,20,26,30|18","['05', '07', '09', '14', '20', '26', '30']",['18']
26049,2026-05-04 21:15:00,"16,19,20,23,25,28,30|06","['16', '19', '20', '23', '25', '28', '30']",['06']
26048,2026-05-01 21:15:00,"13,14,15,16,17,18,26|09","['13', '14', '15', '16', '17', '18', '26']",['09']
26047,2026-04-29 21:15:00,"02,10,15,17,21,22,24|13","['02', '10', '15', '17', '21', '22', '24']",['13']
26046,2026-04-27 21:15:00,"01,13,18,21,24,25,29|14","['01', '13', '18', '21', '24', '25', '29']",['14']
26045,2026-04-24 21:15:00,"03,15,17,18,21,22,24|08","['03', '15', '17', '18', '21', '22', '24']",['08']
26044,2026-04-22 21:15:00,"03,14,15,16,26,27,29|30","['03', '14', '15', '16', '26', '27', '29']",['30']
26043,2026-04-20 21:15:00,"07,09,11,13,22,23,30|06","['07', '09', '11', '13', '22', '23', '30']",['06']
26042,2026-04-17 21:15:00,"02,07,09,11,17,20,29|30","['02', '07', '09', '11', '17', '20', '29']",['30']
26041,2026-04-15 21:15:00,"02,06,11,16,17,29,30|12","['02', '06', '11', '16', '17', '29', '30']",['12']
26040,2026-04-13 21:15:00,"03,06,09,10,13,17,27|16","['03', '06', '09', '10', '13', '17', '27']",['16']
26039,2026-04-10 21:15:00,"02,03,10,11,12,24,25|07","['02', '03', '10', '11', '12', '24', '25']",['07']
26038,2026-04-08 21:15:00,"06,08,13,14,20,23,27|01","['06', '08', '13', '14', '20', '23', '27']",['01']
26037,2026-04-06 21:15:00,"05,07,12,15,20,25,26|24","['05', '07', '12', '15', '20', '25', '26']",['24']
26036,2026-04-03 21:15:00,"09,12,15,19,22,24,28|07","['09', '12', '15', '19', '22', '24', '28']",['07']
26035,2026-04-01 21:15:00,"02,03,09,24,26,27,29|14","['02', '03', '09', '24', '26', '27', '29']",['14']
26034,2026-03-30 21:15:00,"10,11,12,14,16,22,25|03","['10', '11', '12', '14', '16', '22', '25']",['03']
26033,2026-03-27 21:15:00,"11,18,21,22,23,26,27|02","['11', '18', '21', '22', '23', '26', '27']",['02']
26032,2026-03-25 21:15:00,"05,06,15,18,23,27,28|19","['05', '06', '15', '18', '23', '27', '28']",['19']
26031,2026-03-23 21:15:00,"04,08,13,24,28,29,30|09","['04', '08', '13', '24', '28', '29', '30']",['09']
26030,2026-03-20 21:15:00,"07,09,12,14,15,18,27|28","['07', '09', '12', '14', '15', '18', '27']",['28']
26029,2026-03-18 21:15:00,"09,12,16,18,21,23,24|26","['09', '12', '16', '18', '21', '23', '24']",['26']
26028,2026-03-16 21:15:00,"06,15,17,18,21,26,29|24","['06', '15', '17', '18', '21', '26', '29']",['24']
26027,2026-03-13 21:15:00,"07,11,13,17,21,24,28|25","['07', '11', '13', '17', '21', '24', '28']",['25']
26026,2026-03-11 21:15:00,"06,13,17,19,24,26,30|02","['06', '13', '17', '19', '24', '26', '30']",['02']
26025,2026-03-09 21:15:00,"04,11,14,15,19,25,26|21","['04', '11', '14', '15', '19', '25', '26']",['21']
26024,2026-03-06 21:15:00,"03,06,09,11,14,19,28|16","['03', '06', '09', '11', '14', '19', '28']",['16']
26023,2026-03-04 21:15:00,"03,06,07,08,14,23,26|13","['03', '06', '07', '08', '14', '23', '26']",['13']
26022,2026-03-02 21:15:00,"01,10,11,13,16,23,24|29","['01', '10', '11', '13', '16', '23', '24']",['29']
26021,2026-02-27 21:15:00,"02,08,13,14,15,18,23|24","['02', '08', '13', '14', '15', '18', '23']",['24']
26020,2026-02-25 21:15:00,"02,04,12,16,21,22,24|11","['02', '04', '12', '16', '21', '22', '24']",['11']
26019,2026-02-13 21:15:00,"02,07,09,17,24,27,30|08","['02', '07', '09', '17', '24', '27', '30']",['08']
26018,2026-02-11 21:15:00,"12,15,16,18,19,23,29|26","['12', '15', '16', '18', '19', '23', '29']",['26']
26017,2026-02-09 21:15:00,"04,13,15,16,19,26,27|18","['04', '13', '15', '16', '19', '26', '27']",['18']
26016,2026-02-06 21:15:00,"02,06,10,14,18,19,23|11","['02', '06', '10', '14', '18', '19', '23']",['11']
26015,2026-02-04 21:15:00,"01,05,09,17,23,27,28|30","['01', '05', '09', '17', '23', '27', '28']",['30']
26014,2026-02-02 21:15:00,"01,09,10,13,21,28,30|04","['01', '09', '10', '13', '21', '28', '30']",['04']
26013,2026-01-30 21:15:00,"09,12,14,20,26,28,30|27","['09', '12', '14', '20', '26', '28', '30']",['27']
26012,2026-01-28 21:15:00,"16,18,22,23,24,25,29|07","['16', '18', '22', '23', '24', '25', '29']",['07']
26011,2026-01-26 21:15:00,"05,08,09,13,18,25,26|20","['05', '08', '09', '13', '18', '25', '26']",['20']
26010,2026-01-23 21:15:00,"01,14,15,18,21,28,29|24","['01', '14', '15', '18', '21', '28', '29']",['24']
26009,2026-01-21 21:15:00,"01,04,07,17,20,29,30|19","['01', '04', '07', '17', '20', '29', '30']",['19']
26008,2026-01-19 21:15:00,"01,03,12,14,24,29,30|19","['01', '03', '12', '14', '24', '29', '30']",['19']
26007,2026-01-16 21:15:00,"04,06,14,19,20,25,27|29","['04', '06', '14', '19', '20', '25', '27']",['29']
26006,2026-01-14 21:15:00,"05,06,14,21,22,25,29|28","['05', '06', '14', '21', '22', '25', '29']",['28']
26005,2026-01-12 21:15:00,"09,11,18,19,22,25,26|08","['09', '11', '18', '19', '22', '25', '26']",['08']
26004,2026-01-09 21:15:00,"07,14,17,21,23,24,25|19","['07', '14', '17', '21', '23', '24', '25']",['19']
26003,2026-01-07 21:15:00,"01,15,18,19,28,29,30|22","['01', '15', '18', '19', '28', '29', '30']",['22']
26002,2026-01-05 21:15:00,"05,07,08,14,17,23,27|29","['05', '07', '08', '14', '17', '23', '27']",['29']
26001,2026-01-02 21:15:00,"05,07,13,15,20,22,29|11","['05', '07', '13', '15', '20', '22', '29']",['11']
25150,2025-12-31 21:15:00,"03,09,16,17,20,26,28|23","['03', '09', '16', '17', '20', '26', '28']",['23']
25149,2025-12-29 21:15:00,"01,03,04,05,07,11,12|29","['01', '03', '04', '05', '07', '11', '12']",['29']
25148,2025-12-26 21:15:00,"04,05,07,13,14,23,30|12","['04', '05', '07', '13', '14', '23', '30']",['12']
25147,2025-12-24 21:15:00,"01,04,08,12,13,25,27|09","['01', '04', '08', '12', '13', '25', '27']",['09']
25146,2025-12-22 21:15:00,"04,14,18,22,24,28,30|26","['04', '14', '18', '22', '24', '28', '30']",['26']
25145,2025-12-19 21:15:00,"02,08,10,20,26,27,28|11","['02', '08', '10', '20', '26', '27', '28']",['11']
25144,2025-12-17 21:15:00,"01,03,09,19,24,27,28|21","['01', '03', '09', '19', '24', '27', '28']",['21']
25143,2025-12-15 21:15:00,"05,11,18,21,27,28,30|01","['05', '11', '18', '21', '27', '28', '30']",['01']
25142,2025-12-12 21:15:00,"07,09,20,21,24,27,29|25","['07', '09', '20', '21', '24', '27', '29']",['25']
25141,2025-12-10 21:15:00,"01,03,05,14,24,25,28|10","['01', '03', '05', '14', '24', '25', '28']",['10']
25140,2025-12-08 21:15:00,"01,06,07,09,13,20,27|30","['01', '06', '07', '09', '13', '20', '27']",['30']
25139,2025-12-05 21:15:00,"01,02,19,20,26,27,28|23","['01', '02', '19', '20', '26', '27', '28']",['23']
25138,2025-12-03 21:15:00,"07,09,10,12,22,23,24|04","['07', '09', '10', '12', '22', '23', '24']",['04']
25137,2025-12-01 21:15:00,"02,05,10,12,15,20,25|13","['02', '05', '10', '12', '15', '20', '25']",['13']
25136,2025-11-28 21:15:00,"02,04,06,10,24,27,30|25","['02', '04', '06', '10', '24', '27', '30']",['25']
25135,2025-11-26 21:15:00,"05,06,12,22,26,27,29|08","['05', '06', '12', '22', '26', '27', '29']",['08']
25134,2025-11-24 21:15:00,"01,02,07,13,22,25,29|19","['01', '02', '07', '13', '22', '25', '29']",['19']
25133,2025-11-21 21:15:00,"02,05,10,11,12,22,24|06","['02', '05', '10', '11', '12', '22', '24']",['06']
25132,2025-11-19 21:15:00,"04,09,15,20,23,25,27|21","['04', '09', '15', '20', '23', '25', '27']",['21']
25131,2025-11-17 21:15:00,"03,07,09,13,15,19,25|28","['03', '07', '09', '13', '15', '19', '25']",['28']
25130,2025-11-14 21:15:00,"02,03,09,11,14,23,27|04","['02', '03', '09', '11', '14', '23', '27']",['04']
25129,2025-11-12 21:15:00,"01,03,07,20,22,26,29|06","['01', '03', '07', '20', '22', '26', '29']",['06']
25128,2025-11-10 21:15:00,"01,03,07,11,13,22,28|26","['01', '03', '07', '11', '13', '22', '28']",['26']
25127,2025-11-07 21:15:00,"04,12,19,20,22,24,29|01","['04', '12', '19', '20', '22', '24', '29']",['01']
25126,2025-11-05 21:15:00,"14,15,17,20,22,26,29|01","['14', '15', '17', '20', '22', '26', '29']",['01']
25125,2025-11-03 21:15:00,"04,09,23,25,26,29,30|16","['04', '09', '23', '25', '26', '29', '30']",['16']
25124,2025-10-31 21:15:00,"05,10,14,15,16,18,23|17","['05', '10', '14', '15', '16', '18', '23']",['17']
25123,2025-10-29 21:15:00,"01,03,08,10,16,21,29|15","['01', '03', '08', '10', '16', '21', '29']",['15']
25122,2025-10-27 21:15:00,"01,05,06,13,22,26,29|11","['01', '05', '06', '13', '22', '26', '29']",['11']
25121,2025-10-24 21:15:00,"03,05,11,15,22,26,28|29","['03', '05', '11', '15', '22', '26', '28']",['29']
25120,2025-10-22 21:15:00,"01,04,06,09,12,14,21|26","['01', '04', '06', '09', '12', '14', '21']",['26']
25119,2025-10-20 21:15:00,"04,10,11,22,23,25,30|28","['04', '10', '11', '22', '23', '25', '30']",['28']
25118,2025-10-17 21:15:00,"07,11,12,25,26,29,30|23","['07', '11', '12', '25', '26', '29', '30']",['23']
25117,2025-10-15 21:15:00,"01,03,09,22,25,29,30|06","['01', '03', '09', '22', '25', '29', '30']",['06']
25116,2025-10-13 21:15:00,"02,05,16,19,20,26,30|08","['02', '05', '16', '19', '20', '26', '30']",['08']
25115,2025-10-10 21:15:00,"01,05,06,08,09,10,29|20","['01', '05', '06', '08', '09', '10', '29']",['20']
25114,2025-10-08 21:15:00,"05,06,13,16,21,25,30|27","['05', '06', '13', '16', '21', '25', '30']",['27']
25113,2025-10-06 21:15:00,"01,06,08,14,17,20,26|18","['01', '06', '08', '14', '17', '20', '26']",['18']
25112,2025-09-29 21:15:00,"03,08,09,11,13,15,25|02","['03', '08', '09', '11', '13', '15', '25']",['02']
25111,2025-09-26 21:15:00,"01,05,06,09,11,19,28|20","['01', '05', '06', '09', '11', '19', '28']",['20']
25110,2025-09-24 21:15:00,"07,08,09,10,13,14,27|29","['07', '08', '09', '10', '13', '14', '27']",['29']
25109,2025-09-22 21:15:00,"04,05,06,13,18,25,27|14","['04', '05', '06', '13', '18', '25', '27']",['14']
25108,2025-09-19 21:15:00,"04,13,14,19,22,25,28|18","['04', '13', '14', '19', '22', '25', '28']",['18']
25107,2025-09-17 21:15:00,"06,13,22,23,24,28,29|04","['06', '13', '22', '23', '24', '28', '29']",['04']
25106,2025-09-15 21:15:00,"05,13,14,18,26,27,28|25","['05', '13', '14', '18', '26', '27', '28']",['25']
25105,2025-09-12 21:15:00,"01,02,10,16,18,23,26|30","['01', '02', '10', '16', '18', '23', '26']",['30']
25104,2025-09-10 21:15:00,"01,04,06,09,11,13,14|12","['01', '04', '06', '09', '11', '13', '14']",['12']
25103,2025-09-08 21:15:00,"01,08,09,12,18,22,23|21","['01', '08', '09', '12', '18', '22', '23']",['21']
25102,2025-09-05 21:15:00,"06,18,19,21,26,29,30|04","['06', '18', '19', '21', '26', '29', '30']",['04']
25101,2025-09-03 21:15:00,"02,03,07,08,14,26,27|09","['02', '03', '07', '08', '14', '26', '27']",['09']
25100,2025-09-01 21:15:00,"09,12,15,20,27,28,29|22","['09', '12', '15', '20', '27', '28', '29']",['22']
25099,2025-08-29 21:15:00,"03,09,10,11,15,20,24|29","['03', '09', '10', '11', '15', '20', '24']",['29']
25098,2025-08-27 21:15:00,"01,06,09,17,23,24,25|03","['01', '06', '09', '17', '23', '24', '25']",['03']
25097,2025-08-25 21:15:00,"01,06,08,09,19,20,21|05","['01', '06', '08', '09', '19', '20', '21']",['05']
25096,2025-08-22 21:15:00,"04,05,08,11,18,23,25|24","['04', '05', '08', '11', '18', '23', '25']",['24']
25095,2025-08-20 21:15:00,"03,05,09,13,24,28,29|06","['03', '05', '09', '13', '24', '28', '29']",['06']
25094,2025-08-18 21:15:00,"06,07,08,09,18,21,25|30","['06', '07', '08', '09', '18', '21', '25']",['30']
25093,2025-08-15 21:15:00,"04,11,14,24,25,26,27|08","['04', '11', '14', '24', '25', '26', '27']",['08']
25092,2025-08-13 21:15:00,"01,05,12,14,21,23,24|04","['01', '05', '12', '14', '21', '23', '24']",['04']
25091,2025-08-11 21:15:00,"04,09,10,19,21,28,30|06","['04', '09', '10', '19', '21', '28', '30']",['06']
25090,2025-08-08 21:15:00,"04,05,07,10,14,26,30|12","['04', '05', '07', '10', '14', '26', '30']",['12']
25089,2025-08-06 21:15:00,"01,06,07,16,20,24,26|28","['01', '06', '07', '16', '20', '24', '26']",['28']
25088,2025-08-04 21:15:00,"02,04,06,13,18,26,27|30","['02', '04', '06', '13', '18', '26', '27']",['30']
25087,2025-08-01 21:15:00,"02,05,08,11,26,29,30|23","['02', '05', '08', '11', '26', '29', '30']",['23']
25086,2025-07-30 21:15:00,"09,11,13,15,19,25,28|24","['09', '11', '13', '15', '19', '25', '28']",['24']
25085,2025-07-28 21:15:00,"03,05,14,17,20,23,25|06","['03', '05', '14', '17', '20', '23', '25']",['06']
25084,2025-07-25 21:15:00,"02,06,15,18,20,28,29|25","['02', '06', '15', '18', '20', '28', '29']",['25']
25083,2025-07-23 21:15:00,"01,03,09,12,20,23,27|07","['01', '03', '09', '12', '20', '23', '27']",['07']
25082,2025-07-21 21:15:00,"05,07,08,10,13,27,29|02","['05', '07', '08', '10', '13', '27', '29']",['02']
25081,2025-07-18 21:15:00,"05,08,18,20,22,27,29|10","['05', '08', '18', '20', '22', '27', '29']",['10']
25080,2025-07-16 21:15:00,"03,16,17,19,21,22,23|11","['03', '16', '17', '19', '21', '22', '23']",['11']
25079,2025-07-14 21:15:00,"04,07,10,11,12,28,29|15","['04', '07', '10', '11', '12', '28', '29']",['15']
25078,2025-07-11 21:15:00,"01,03,06,11,16,17,20|21","['01', '03', '06', '11', '16', '17', '20']",['21']
25077,2025-07-09 21:15:00,"01,05,12,17,26,27,28|16","['01', '05', '12', '17', '26', '27', '28']",['16']
25076,2025-07-07 21:15:00,"01,08,15,16,20,23,25|17","['01', '08', '15', '16', '20', '23', '25']",['17']
25075,2025-07-04 21:15:00,"02,03,10,11,13,16,22|09","['02', '03', '10', '11', '13', '16', '22']",['09']
25074,2025-07-02 21:15:00,"01,07,08,19,22,23,24|15","['01', '07', '08', '19', '22', '23', '24']",['15']
25073,2025-06-30 21:15:00,"05,12,15,17,20,22,27|29","['05', '12', '15', '17', '20', '22', '27']",['29']
25072,2025-06-27 21:15:00,"09,14,16,17,21,25,28|15","['09', '14', '16', '17', '21', '25', '28']",['15']
25071,2025-06-25 21:15:00,"11,15,18,21,22,27,28|20","['11', '15', '18', '21', '22', '27', '28']",['20']
25070,2025-06-23 21:15:00,"14,16,17,19,20,25,30|01","['14', '16', '17', '19', '20', '25', '30']",['01']
25069,2025-06-20 21:15:00,"02,04,07,08,10,12,16|29","['02', '04', '07', '08', '10', '12', '16']",['29']
25068,2025-06-18 21:15:00,"09,14,16,21,22,23,29|26","['09', '14', '16', '21', '22', '23', '29']",['26']
25067,2025-06-16 21:15:00,"02,03,04,18,26,28,30|01","['02', '03', '04', '18', '26', '28', '30']",['01']
25066,2025-06-13 21:15:00,"01,08,09,13,15,23,26|07","['01', '08', '09', '13', '15', '23', '26']",['07']
25065,2025-06-11 21:15:00,"03,05,07,11,13,22,26|21","['03', '05', '07', '11', '13', '22', '26']",['21']
25064,2025-06-09 21:15:00,"02,05,06,08,16,20,30|11","['02', '05', '06', '08', '16', '20', '30']",['11']
25063,2025-06-06 21:15:00,"01,03,08,14,19,24,26|17","['01', '03', '08', '14', '19', '24', '26']",['17']
25062,2025-06-04 21:15:00,"02,05,09,15,19,26,28|13","['02', '05', '09', '15', '19', '26', '28']",['13']
25061,2025-06-02 21:15:00,"04,06,10,16,17,23,30|22","['04', '06', '10', '16', '17', '23', '30']",['22']
25060,2025-05-30 21:15:00,"03,08,21,22,24,27,29|26","['03', '08', '21', '22', '24', '27', '29']",['26']
25059,2025-05-28 21:15:00,"01,03,05,06,11,20,21|19","['01', '03', '05', '06', '11', '20', '21']",['19']
25058,2025-05-26 21:15:00,"01,02,08,13,14,25,28|19","['01', '02', '08', '13', '14', '25', '28']",['19']
25057,2025-05-23 21:15:00,"03,07,10,11,16,22,25|02","['03', '07', '10', '11', '16', '22', '25']",['02']
25056,2025-05-21 21:15:00,"02,03,08,12,14,24,27|13","['02', '03', '08', '12', '14', '24', '27']",['13']
25055,2025-05-19 21:15:00,"03,04,07,16,20,22,27|19","['03', '04', '07', '16', '20', '22', '27']",['19']
25054,2025-05-16 21:15:00,"01,05,09,14,19,23,25|17","['01', '05', '09', '14', '19', '23', '25']",['17']
25053,2025-05-14 21:15:00,"05,06,09,10,12,19,26|18","['05', '06', '09', '10', '12', '19', '26']",['18']
25052,2025-05-12 21:15:00,"01,03,14,16,18,29,30|06","['01', '03', '14', '16', '18', '29', '30']",['06']
25051,2025-05-09 21:15:00,"10,18,19,20,21,22,24|03","['10', '18', '19', '20', '21', '22', '24']",['03']
25050,2025-05-07 21:15:00,"04,06,15,17,19,23,28|02","['04', '06', '15', '17', '19', '23', '28']",['02']
25049,2025-05-05 21:15:00,"02,09,12,13,15,16,20|08","['02', '09', '12', '13', '15', '16', '20']",['08']
25048,2025-05-02 21:15:00,"11,12,13,17,21,24,30|01","['11', '12', '13', '17', '21', '24', '30']",['01']
25047,2025-04-30 21:15:00,"08,15,19,23,25,26,27|04","['08', '15', '19', '23', '25', '26', '27']",['04']
25046,2025-04-28 21:15:00,"01,04,05,11,16,17,25|07","['01', '04', '05', '11', '16', '17', '25']",['07']
25045,2025-04-25 21:15:00,"01,08,19,21,23,26,27|17","['01', '08', '19', '21', '23', '26', '27']",['17']
25044,2025-04-23 21:15:00,"02,03,13,14,18,28,29|20","['02', '03', '13', '14', '18', '28', '29']",['20']
25043,2025-04-21 21:15:00,"04,10,13,19,23,27,28|16","['04', '10', '13', '19', '23', '27', '28']",['16']
25042,2025-04-18 21:15:00,"03,09,10,14,27,28,30|24","['03', '09', '10', '14', '27', '28', '30']",['24']
25041,2025-04-16 21:15:00,"04,13,14,15,16,18,26|01","['04', '13', '14', '15', '16', '18', '26']",['01']
25040,2025-04-14 21:15:00,"02,08,12,14,16,21,24|05","['02', '08', '12', '14', '16', '21', '24']",['05']
25039,2025-04-11 21:15:00,"02,06,14,16,22,23,24|10","['02', '06', '14', '16', '22', '23', '24']",['10']
25038,2025-04-09 21:15:00,"03,07,09,12,14,15,18|20","['03', '07', '09', '12', '14', '15', '18']",['20']
25037,2025-04-07 21:15:00,"01,03,07,21,22,23,26|13","['01', '03', '07', '21', '22', '23', '26']",['13']
25036,2025-04-04 21:15:00,"08,13,15,22,28,29,30|23","['08', '13', '15', '22', '28', '29', '30']",['23']
25035,2025-04-02 21:15:00,"01,08,12,13,21,28,30|15","['01', '08', '12', '13', '21', '28', '30']",['15']
25034,2025-03-31 21:15:00,"04,14,17,20,22,23,25|11","['04', '14', '17', '20', '22', '23', '25']",['11']
25033,2025-03-28 21:15:00,"03,09,12,15,17,20,24|13","['03', '09', '12', '15', '17', '20', '24']",['13']
25032,2025-03-26 21:15:00,"01,10,17,20,22,27,30|03","['01', '10', '17', '20', '22', '27', '30']",['03']
25031,2025-03-24 21:15:00,"05,11,13,17,19,20,23|25","['05', '11', '13', '17', '19', '20', '23']",['25']
25030,2025-03-21 21:15:00,"06,11,16,18,19,23,30|14","['06', '11', '16', '18', '19', '23', '30']",['14']
25029,2025-03-19 21:15:00,"02,05,09,13,14,17,29|15","['02', '05', '09', '13', '14', '17', '29']",['15']
25028,2025-03-17 21:15:00,"05,08,09,14,16,22,28|12","['05', '08', '09', '14', '16', '22', '28']",['12']
25027,2025-03-14 21:15:00,"06,09,15,22,23,26,30|11","['06', '09', '15', '22', '23', '26', '30']",['11']
25026,2025-03-12 21:15:00,"07,09,11,18,19,20,22|16","['07', '09', '11', '18', '19', '20', '22']",['16']
25025,2025-03-10 21:15:00,"01,07,11,15,17,19,22|23","['01', '07', '11', '15', '17', '19', '22']",['23']
25024,2025-03-07 21:15:00,"02,06,11,12,27,28,29|23","['02', '06', '11', '12', '27', '28', '29']",['23']
25023,2025-03-05 21:15:00,"06,08,16,20,21,26,30|11","['06', '08', '16', '20', '21', '26', '30']",['11']
25022,2025-03-03 21:15:00,"02,04,08,12,15,18,27|14","['02', '04', '08', '12', '15', '18', '27']",['14']
25021,2025-02-28 21:15:00,"02,03,05,06,11,13,24|26","['02', '03', '05', '06', '11', '13', '24']",['26']
25020,2025-02-26 21:15:00,"01,02,03,05,13,17,18|19","['01', '02', '03', '05', '13', '17', '18']",['19']
25019,2025-02-24 21:15:00,"05,11,14,16,21,23,26|09","['05', '11', '14', '16', '21', '23', '26']",['09']
25018,2025-02-21 21:15:00,"04,05,08,12,19,22,26|21","['04', '05', '08', '12', '19', '22', '26']",['21']
25017,2025-02-19 21:15:00,"05,06,18,20,21,23,30|14","['05', '06', '18', '20', '21', '23', '30']",['14']
25016,2025-02-17 21:15:00,"07,12,13,15,17,20,30|27","['07', '12', '13', '15', '17', '20', '30']",['27']
25015,2025-02-14 21:15:00,"01,06,08,22,25,27,29|15","['01', '06', '08', '22', '25', '27', '29']",['15']
25014,2025-02-12 21:15:00,"04,07,19,20,21,26,29|14","['04', '07', '19', '20', '21', '26', '29']",['14']
25013,2025-02-10 21:15:00,"02,03,18,20,25,26,29|22","['02', '03', '18', '20', '25', '26', '29']",['22']
25012,2025-02-07 21:15:00,"03,08,10,11,13,24,25|04","['03', '08', '10', '11', '13', '24', '25']",['04']
25011,2025-01-24 21:15:00,"03,11,12,19,22,27,29|01","['03', '11', '12', '19', '22', '27', '29']",['01']
25010,2025-01-22 21:15:00,"02,09,10,12,13,20,25|03","['02', '09', '10', '12', '13', '20', '25']",['03']
25009,2025-01-20 21:15:00,"01,07,10,12,18,26,29|04","['01', '07', '10', '12', '18', '26', '29']",['04']
25008,2025-01-17 21:15:00,"10,11,14,17,21,22,28|08","['10', '11', '14', '17', '21', '22', '28']",['08']
25007,2025-01-15 21:15:00,"07,10,12,20,22,25,29|14","['07', '10', '12', '20', '22', '25', '29']",['14']
25006,2025-01-13 21:15:00,"01,09,14,21,24,26,30|12","['01', '09', '14', '21', '24', '26', '30']",['12']
25005,2025-01-10 21:15:00,"02,06,09,13,15,21,23|18","['02', '06', '09', '13', '15', '21', '23']",['18']
25004,2025-01-08 21:15:00,"09,21,24,26,27,28,30|08","['09', '21', '24', '26', '27', '28', '30']",['08']
25003,2025-01-06 21:15:00,"02,03,06,07,18,24,26|04","['02', '03', '06', '07', '18', '24', '26']",['04']
25002,2025-01-03 21:15:00,"04,07,12,15,20,22,27|06","['04', '07', '12', '15', '20', '22', '27']",['06']
25001,2025-01-01 21:15:00,"07,08,09,13,21,26,28|06","['07', '08', '09', '13', '21', '26', '28']",['06']
24151,2024-12-30 21:15:00,"08,16,18,20,23,24,29|02","['08', '16', '18', '20', '23', '24', '29']",['02']
24150,2024-12-27 21:15:00,"04,05,08,10,16,27,28|09","['04', '05', '08', '10', '16', '27', '28']",['09']
24149,2024-12-25 21:15:00,"02,03,04,18,21,24,25|05","['02', '03', '04', '18', '21', '24', '25']",['05']
24148,2024-12-23 21:15:00,"03,10,14,15,19,23,25|26","['03', '10', '14', '15', '19', '23', '25']",['26']
24147,2024-12-20 21:15:00,"01,05,09,13,14,16,24|22","['01', '05', '09', '13', '14', '16', '24']",['22']
24146,2024-12-18 21:15:00,"01,03,05,11,16,18,24|29","['01', '03', '05', '11', '16', '18', '24']",['29']
24145,2024-12-16 21:15:00,"02,03,05,08,18,25,28|01","['02', '03', '05', '08', '18', '25', '28']",['01']
24144,2024-12-13 21:15:00,"01,06,12,17,19,20,25|15","['01', '06', '12', '17', '19', '20', '25']",['15']
24143,2024-12-11 21:15:00,"02,05,13,14,20,26,29|07","['02', '05', '13', '14', '20', '26', '29']",['07']
24142,2024-12-09 21:15:00,"07,08,11,13,15,16,29|02","['07', '08', '11', '13', '15', '16', '29']",['02']
24141,2024-12-06 21:15:00,"01,03,06,07,23,27,28|16","['01', '03', '06', '07', '23', '27', '28']",['16']
24140,2024-12-04 21:15:00,"12,16,19,25,26,27,29|22","['12', '16', '19', '25', '26', '27', '29']",['22']
24139,2024-12-02 21:15:00,"03,06,09,13,24,26,28|16","['03', '06', '09', '13', '24', '26', '28']",['16']
